,loss,dice_coef,iou,recall,precision,val_loss,val_dice_coef,val_iou,val_recall,val_precision
0,0.5520718097686768,0.5561431646347046,0.3680633008480072,0.5638189315795898,0.7008765935897827,3.496825695037842,0.6068724989891052,0.42117011547088623,0.8563414216041565,0.4747764766216278
1,0.44542065262794495,0.6521877646446228,0.4605945646762848,0.6964324712753296,0.7766498923301697,0.6389889121055603,0.7209659814834595,0.5398649573326111,0.8901656270027161,0.665377140045166
2,0.35382726788520813,0.730759859085083,0.5476793646812439,0.7828686237335205,0.830803394317627,0.3138732314109802,0.7826254963874817,0.6108099222183228,0.8029078841209412,0.8643374443054199
3,0.30607908964157104,0.7698278427124023,0.5956689119338989,0.8152576684951782,0.857570230960846,0.49256283044815063,0.7571862936019897,0.5837521553039551,0.9006154537200928,0.7118940353393555
4,0.27738240361213684,0.7911819815635681,0.6263730525970459,0.8313714861869812,0.8763625621795654,0.28622934222221375,0.7991510629653931,0.6338079571723938,0.7784400582313538,0.9146205186843872
5,0.24646133184432983,0.8149547576904297,0.6601734757423401,0.8562895655632019,0.8864126205444336,0.22391711175441742,0.8209076523780823,0.664635956287384,0.8818596601486206,0.8884832859039307
6,0.22320805490016937,0.8348683714866638,0.6873309016227722,0.871996283531189,0.8994430303573608,0.26742076873779297,0.7959733009338379,0.6361757516860962,0.7986131906509399,0.9169746041297913
7,0.2027793824672699,0.8489822149276733,0.7087554335594177,0.8859430551528931,0.9064951539039612,0.2856259047985077,0.8342970013618469,0.6843719482421875,0.8235610723495483,0.921126127243042
8,0.18769390881061554,0.8617990612983704,0.7283061146736145,0.894108235836029,0.9153320789337158,0.3068518042564392,0.844083309173584,0.705208957195282,0.9200448989868164,0.8263104557991028
9,0.17869019508361816,0.8681821823120117,0.7390604019165039,0.9024897813796997,0.9170150756835938,0.21560567617416382,0.8517193794250488,0.7088649272918701,0.8400316834449768,0.947767972946167
10,0.159143328666687,0.8832290172576904,0.7646237015724182,0.9155426621437073,0.924842357635498,0.1681729257106781,0.8904606699943542,0.7674916982650757,0.9094712138175964,0.9294816255569458
11,0.15424920618534088,0.8870862126350403,0.7712875604629517,0.9199920296669006,0.9267483949661255,0.15309537947177887,0.8913983106613159,0.7799667716026306,0.9227883815765381,0.9258912205696106
12,0.13187919557094574,0.9036732316017151,0.7997455596923828,0.9303154349327087,0.939295768737793,0.14556652307510376,0.910304605960846,0.8086830377578735,0.930426299571991,0.9331827163696289
13,0.1256447285413742,0.9086802005767822,0.8075732588768005,0.9339320063591003,0.9415954351425171,0.1616438627243042,0.8912010192871094,0.7729946374893188,0.887160062789917,0.9541859030723572
14,0.13892407715320587,0.9003587961196899,0.7953687906265259,0.9275499582290649,0.9366730451583862,0.5714249014854431,0.6847320795059204,0.5080782771110535,0.7612653374671936,0.6980352401733398
15,0.1267748326063156,0.9072215557098389,0.806912899017334,0.935634195804596,0.9396586418151855,0.1450251042842865,0.8930917382240295,0.7751400470733643,0.894257128238678,0.9587389826774597
16,0.10994461923837662,0.9204089045524597,0.8313648700714111,0.943867027759552,0.9480283260345459,0.13095098733901978,0.9146660566329956,0.8148001432418823,0.9267317652702332,0.9464387893676758
17,0.1028832495212555,0.9250314831733704,0.8403668999671936,0.9477319717407227,0.9506021738052368,0.12311037629842758,0.9235185980796814,0.8349766135215759,0.9330334067344666,0.9507195949554443
18,0.09400103986263275,0.9318444728851318,0.8532203435897827,0.9514283537864685,0.9561191201210022,0.15879659354686737,0.9162542819976807,0.8280829191207886,0.9540661573410034,0.9120582938194275
19,0.09847940504550934,0.9287459254264832,0.8470860719680786,0.9498805403709412,0.9530804753303528,0.11855462193489075,0.9220750331878662,0.8318285346031189,0.9448468685150146,0.9430660605430603
20,0.09475376456975937,0.9314908385276794,0.8524299263954163,0.9517778754234314,0.9549839496612549,0.10905667394399643,0.9281415939331055,0.8454967737197876,0.9343669414520264,0.9618657231330872
21,0.0838211253285408,0.9393956065177917,0.8684711456298828,0.9576989412307739,0.9600245356559753,0.11232168227434158,0.9276595711708069,0.8443015217781067,0.9427950382232666,0.9500337243080139
22,0.08271971344947815,0.9404801726341248,0.8702855110168457,0.9584041237831116,0.960563063621521,0.19693419337272644,0.8954387307167053,0.7940835952758789,0.9496827721595764,0.8855860829353333
23,0.09452193230390549,0.9324430823326111,0.8530792593955994,0.9529524445533752,0.9551641345024109,0.12075495719909668,0.9248640537261963,0.8349335193634033,0.9399464130401611,0.951253354549408
24,0.09103891998529434,0.9345977306365967,0.8589849472045898,0.9546822905540466,0.9564913511276245,0.13284900784492493,0.9219883680343628,0.8321250677108765,0.9230175018310547,0.9573109149932861
25,0.07548444718122482,0.945609450340271,0.8807761073112488,0.9621144533157349,0.9638702869415283,0.13751550018787384,0.9270524978637695,0.8487380146980286,0.9396359324455261,0.9425445199012756
26,0.07206488400697708,0.9476165175437927,0.8853754997253418,0.963746964931488,0.9649288654327393,0.10523088276386261,0.9391273856163025,0.8688213229179382,0.9511508941650391,0.9534904956817627
27,0.08809549361467361,0.9366941452026367,0.8630041480064392,0.9556981921195984,0.958626925945282,0.13266174495220184,0.9231885075569153,0.8355748057365417,0.9570098519325256,0.9315106868743896
28,0.07261437922716141,0.9474589228630066,0.8851886987686157,0.9639333486557007,0.96443110704422,0.10744240880012512,0.9381085634231567,0.8639299869537354,0.9449504017829895,0.9600260853767395
29,0.06775427609682083,0.950910210609436,0.8921663761138916,0.9660122990608215,0.9669677019119263,0.15636363625526428,0.9301896691322327,0.8480958342552185,0.9387123584747314,0.9425913691520691
30,0.0686146691441536,0.9502586126327515,0.8908395767211914,0.9660047888755798,0.9661601781845093,0.10453125089406967,0.9433261156082153,0.8771275877952576,0.9568230509757996,0.9543511867523193
31,0.06483599543571472,0.9533694982528687,0.8970441222190857,0.9682062268257141,0.9681689739227295,0.1055288091301918,0.9402748942375183,0.8681261539459229,0.9480318427085876,0.9605633616447449
32,0.06066903471946716,0.9559819102287292,0.9033462405204773,0.9696791172027588,0.9701970219612122,0.11651481688022614,0.9440348744392395,0.8771320581436157,0.9678471684455872,0.9424187541007996
33,0.05817145109176636,0.957929253578186,0.9070692658424377,0.9716319441795349,0.97066730260849,0.11212223023176193,0.9422833919525146,0.8754140138626099,0.9614270329475403,0.9471525549888611
34,0.06700773537158966,0.9517561197280884,0.8929157853126526,0.9667398929595947,0.9673636555671692,0.16255933046340942,0.9315135478973389,0.8522903919219971,0.9599701762199402,0.93196040391922
35,0.059879120439291,0.9564982652664185,0.9041009545326233,0.9702697992324829,0.9704392552375793,0.10089603811502457,0.9483230113983154,0.8841822147369385,0.9602723717689514,0.9584690928459167
36,0.07157961279153824,0.9486651420593262,0.8874361515045166,0.9646832346916199,0.9651171565055847,0.11563282459974289,0.9444501399993896,0.8769030570983887,0.9578650593757629,0.9533436894416809
37,0.057115402072668076,0.9585996866226196,0.9081166982650757,0.9717401266098022,0.9717655777931213,0.11433776468038559,0.9419581890106201,0.8727876543998718,0.9506443738937378,0.9543713331222534
38,0.054197102785110474,0.9605991244316101,0.9123299717903137,0.9733127355575562,0.9726488590240479,0.10399075597524643,0.9460728168487549,0.8844708204269409,0.9678127765655518,0.9498021602630615
39,0.052904967218637466,0.9615059494972229,0.9146891832351685,0.9737651348114014,0.9734913110733032,0.10686895251274109,0.94325190782547,0.8732621073722839,0.9509164094924927,0.9628642201423645
40,0.06679549813270569,0.9522472023963928,0.8943331241607666,0.9674385786056519,0.9672122001647949,0.11584886908531189,0.9386566877365112,0.8667681217193604,0.9581249952316284,0.9457951784133911
41,0.06857094168663025,0.9504939913749695,0.8906110525131226,0.9659565091133118,0.9664766192436218,0.09371665120124817,0.9460769295692444,0.8805801868438721,0.958501398563385,0.9602804183959961
42,0.04988192394375801,0.9636293053627014,0.9188252687454224,0.9756760597229004,0.9744136333465576,0.09560742974281311,0.9510127305984497,0.890940248966217,0.9628655314445496,0.9602870941162109
43,0.04794575273990631,0.9649969339370728,0.9223846197128296,0.9763469696044922,0.9754694104194641,0.10594889521598816,0.9520070552825928,0.8943267464637756,0.9687827229499817,0.9545045495033264
44,0.04664110019803047,0.9659002423286438,0.9241182804107666,0.977055013179779,0.9761297702789307,0.102052241563797,0.9517334699630737,0.8936501741409302,0.9658867716789246,0.9556193947792053
45,0.06673384457826614,0.9520684480667114,0.8967082500457764,0.9680792093276978,0.9664576649665833,0.5070168375968933,0.8148019313812256,0.681335985660553,0.9027527570724487,0.7737987041473389
46,0.055538419634103775,0.9596538543701172,0.910576343536377,0.9725348949432373,0.9725297689437866,0.10979616641998291,0.9461737871170044,0.8774586915969849,0.9477318525314331,0.9656264185905457
